Gene,Description,BLAST_hit
Bo2g124330,SKP1-like protein 18 (AtSK18),ASK18 At1g10230 F14N23.11
Bo2g125710,,
Bo2g125830,DNA-directed RNA polymerase III subunit 2 (DNA-directed RNA polymerase III subunit RPC2) (DNA polymerase I subunit C2) (EC 2.7.7.6) (Nuclear RNA polymerase C2),NRPC2 RPC2 At5g45140 K18C1.1
Bo2g127470,Probable magnesium transporter NIPA7,At4g38730 T9A14_10
Bo2g127580,Probable serine/threonine-protein kinase At1g54610 (EC 2.7.11.1),At1g54610 T22H22.5
Bo2g127690,Auxin-responsive protein IAA9 (Indoleacetic acid-induced protein 9),IAA9 At5g65670 F6H11.210 MPA24.1
Bo2g129970,3-oxoacyl-[acyl-carrier-protein] synthase I chloroplastic (EC 2.3.1.41) (Beta-ketoacyl-ACP synthase I) (KAS I),KAS1 At5g46290 MPL12.7
Bo2g130040,Disease resistance protein RPS6 (Resistance to Pseudomonas syringae 6),RPS6
Bo2g130060,60S ribosomal protein L32-1,RPL32A At4g18100 F15J5.70
Bo2g130250,,
Bo2g130260,Aluminum-activated malate transporter 13 (AtALMT13),ALMT13 At5g46600 F10E10.8
Bo2g130290,Aluminum-activated malate transporter 13 (AtALMT13),ALMT13 At5g46600 F10E10.8
Bo2g131560,,
Bo2g132000,Transcription factor ORG2 (Basic helix-loop-helix protein 38) (AtbHLH38) (bHLH 38) (OBP3-responsive gene 2) (Transcription factor EN 8) (bHLH transcription factor bHLH038),ORG2 BHLH38 EN8 At3g56970 F24I3.50
Bo2g132060,,
Bo2g133870,,
Bo2g133950,,
Bo2g134090,,
Bo2g134560,Two-component response regulator ARR14,ARR14 At2g01760 T8O11.7
Bo2g134780,,
Bo2g134920,,
Bo2g136010,,
Bo2g136200,Cinnamoyl-CoA reductase 1 (AtCCR1) (EC 1.2.1.44) (Protein IRREGULAR XYLEM 4),CCR1 IRX4 At1g15950 T24D18.5
Bo2g136220,Auxin-responsive protein SAUR20 (Protein SMALL AUXIN UP RNA 20),SAUR20 At5g18020 MCM23.11
Bo2g136270,Uncharacterized protein At2g34160,At2g34160 T14G11.28
Bo2g136460,,
Bo2g136470,Transcription factor ICE1 (Basic helix-loop-helix protein 116) (AtbHLH116) (bHLH 116) (Inducer of CBF expression 1) (Transcription factor EN 45) (Transcription factor SCREAM) (bHLH transcription factor bHLH116),SCRM BHLH116 EN45 ICE1 At3g26744 MDJ14.1 MLJ15.14
Bo2g136620,,
Bo2g136670,Expansin-A15 (AtEXPA15) (Alpha-expansin-15) (At-EXP15) (AtEx15) (Ath-ExpAlpha-1.3),EXPA15 EXP15 At2g03090 T17M13.26
Bo2g137030,Erlin-2 (Endoplasmic reticulum lipid raft-associated protein 2) (Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 2) (SPFH domain-containing protein 2),ERLIN2 SPFH2
Bo2g138430,Protein NSP-INTERACTING KINASE 2 (EC 2.7.11.1) (LRR receptor-like serine/threonine-protein kinase NIK2),NIK2 At3g25560 MWL2.18
Bo2g138520,ABC transporter G family member 21 (ABC transporter ABCG.21) (AtABCG21) (White-brown complex homolog protein 21) (AtWBC21),ABCG21 WBC21 At3g25620 T5M7.6
Bo2g138630,Transcription factor AIG1 (AtAIG1) (Basic helix-loop-helix protein 32) (AtbHLH32) (bHLH 32) (Protein TARGET OF MOOPTEROS 5) (Transcription factor EN 54) (bHLH transcription factor bHLH032),BHLH32 EN54 TMO5 At3g25710 K13N2.1
Bo2g138720,,
Bo2g138730,,
Bo2g138740,14-alpha-glucan-branching enzyme 3 chloroplastic/amyloplastic (AtSBE III) (EC 2.4.1.18) (Branching enzyme 1) (AtBE1) (Protein EMBRYO DEFECTIVE 2729) (Starch-branching enzyme 3),SBE3 BE1 EMB2729 At3g20440 MQC12.20
Bo2g138800,CLAVATA3/ESR (CLE)-related protein 27 [Cleaved into: CLE27p],CLE27 At3g25905 MPE11
Bo2g138980,Cytochrome P450 71B22 (EC 1.14.-.-),CYP71B22 At3g26200 MTC11.11
Bo2g139210,,
Bo2g139220,,
Bo2g140520,,
Bo2g140540,,
Bo2g142790,,
Bo2g146220,Chalcone synthase 1 (EC 2.3.1.74) (Naringenin-chalcone synthase 1),CHS1
Bo2g146350,Uncharacterized acetyltransferase At3g50280 (EC 2.3.1.-),At3g50280 F11C1.120
Bo2g146500,Transcription factor PRE5 (Basic helix-loop-helix protein 164) (AtbHLH164) (bHLH 164) (Protein PACLOBUTRAZOL RESISTANCE 5) (bHLH transcription factor bHLH164),PRE5 BHLH164 At3g28857 MLD15.1
Bo2g147620,Golgin candidate 6 (AtGC6) (Protein MAIGO 4),GC6 MAG4 At3g27530 MMJ24.8 MMJ24_7
Bo2g149340,BAHD acyltransferase At3g29680 (EC 2.3.1.-) (Probable anthocyanin acyltransferase),At3g29680 MOD1.4
Bo2g149510,Proline dehydrogenase 1 mitochondrial (EC 1.5.5.2) (Osmotic stress-induced proline dehydrogenase) (Proline oxidase) (Protein EARLY RESPONSIVE TO DEHYDRATION 5),POX1 ERD5 PRO1 PRODH1 At3g30775 MIF6.16 MIF6.19
Bo2g149590,,
Bo2g149830,Histone H3.2 (Histone H3.1),HTR2 At1g09200 T12M4.9; HTR3 At3g27360 K1G2.8; HTR13 At5g10390 F12B17_260; HTR9 At5g10400 F12B17_250; HTR1 At5g65360 MNA5.9
Bo2g149970,Uncharacterized protein At5g48480,At5g48480 MJE7.12
Bo2g149990,,
Bo2g150130,Protein SUPPRESSOR OF npr1-1 CONSTITUTIVE 1 (AtSNC1) (Disease resistance RPP5-like protein),SNC1 BAL At4g16890 dl4475c FCAALL.51
Bo2g150200,Cyclin-C1-1 (CycC1;1),CYCC1-1 At5g48640 K15N18.11
Bo2g150230,Protein XRI1 (Protein X-RAY INDUCED 1),XRI1 At5g48720 K24G6.5
Bo2g151850,Basic leucine zipper 63 (AtbZIP63) (bZIP protein 63) (Basic leucine zipper OPAQUE 2 homolog 3) (Basic leucine zipper O2 homolog 3),BZIP63 BZO2H3 At5g28770 T32B20.4
Bo2g155110,Sugar transporter ERD6-like 18 (Sugar-porter family protein 2),SFP2 At5g27360 F21A20.70
Bo2g155140,,
Bo2g155220,Sugar transporter ERD6-like 18 (Sugar-porter family protein 2),SFP2 At5g27360 F21A20.70
Bo2g155280,Pentatricopeptide repeat-containing protein At5g27460,At5g27460 F21A20.170
Bo2g155300,Pentatricopeptide repeat-containing protein At5g27460,At5g27460 F21A20.170
Bo2g155430,Replication factor C subunit 3 (AtRFC3) (Activator 1 subunit 3) (Protein EMBRYO DEFECTIVE 161) (Protein EMBRYO DEFECTIVE 251) (Protein EMBRYO DEFECTIVE 2775),RFC3 EMB161 EMB251 EMB2775 RFC5 At5g27740 T1G16
Bo2g155670,,
Bo2g155770,Agamous-like MADS-box protein AGL80,AGL80 FEM111 At5g48670 K15N18.16
Bo2g155780,Probable protein phosphatase 2C 8 (AtPP2C08) (EC 3.1.3.16),At1g18030 T10F20.4
Bo2g155820,Myrosinase (EC 3.2.1.147) (Sinigrinase) (Thioglucosidase),
Bo2g155840,Myrosinase (EC 3.2.1.147) (Sinigrinase) (Thioglucosidase),
Bo2g155870,Myrosinase (EC 3.2.1.147) (Sinigrinase) (Thioglucosidase),
Bo2g156140,Rhodanese-like domain-containing protein 14 chloroplastic (Sulfurtransferase 14) (AtStr14),At4g27700 T29A15.190
Bo2g156290,Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1),FEN1 At5g26680 F21E10.3
Bo2g158560,BURP domain protein RD22 (Dehydration-responsive protein RD22),RD22 At5g25610 T14C9.150
Bo2g158570,,
Bo2g159240,O-mycaminosyltylonolide 6-deoxyallosyltransferase (EC 2.4.1.317),tylN
Bo2g159380,General transcription factor 3C polypeptide 5 (TF3C-epsilon) (Transcription factor IIIC 63 kDa subunit) (TFIIIC 63 kDa subunit) (TFIIIC63) (Transcription factor IIIC subunit epsilon),GTF3C5 CDABP0017
Bo2g159550,,
Bo2g160600,Plasmodesmata-located protein 6 (PD-located protein 6) (Cysteine-rich repeat secretory protein 12),PDLP6 CRRSP12 At2g01660 T8O11.17
Bo2g160760,Ferric reduction oxidase 4 (AtFRO4) (EC 1.16.1.7) (Ferric-chelate reductase 4),FRO4 At5g23980 MZF18.140
Bo2g160860,Calcium-dependent protein kinase 12 (EC 2.7.11.1) (Calcium-dependent protein kinase isoform CDPK9) (AtCDPK9),CPK12 CDPK9 At5g23580 MQM1.15
Bo2g160870,Calcium-dependent protein kinase 12 (EC 2.7.11.1) (Calcium-dependent protein kinase isoform CDPK9) (AtCDPK9),CPK12 CDPK9 At5g23580 MQM1.15
Bo2g160880,Calcium-dependent protein kinase 12 (EC 2.7.11.1) (Calcium-dependent protein kinase isoform CDPK9) (AtCDPK9),CPK12 CDPK9 At5g23580 MQM1.15
Bo2g160920,High mobility group B protein 7 (Nucleosome/chromatin assembly factor group D 07) (Nucleosome/chromatin assembly factor group D 7) (Protein NUCLEAR FUSION DEFECTIVE 7),HMGB7 HMGB6 NFD7 At5g23420 K19M13.4
Bo2g161060,UDP-glucuronic acid decarboxylase 4 (EC 4.1.1.35) (UDP-XYL synthase 4) (UDP-glucuronate decarboxylase 4) (UGD) (UXS-4),UXS4 At2g47650 T30B22.31
Bo2g161810,Auxin response factor 2 (ARF1-binding protein) (ARF1-BP) (Protein MEGAINTEGUMENTA),ARF2 MNT At5g62000 MTG10.3
Bo2g163940,Probable carboxylesterase 120 (AtCXE20) (EC 3.1.1.1),CXE20 At5g62180 MMI9.26
Bo2g164120,Non-functional NADPH-dependent codeinone reductase 2 (EC 1.1.1.-),COR2
Bo2g164170,50S ribosomal protein L22,rplV R01361 SMc01304
Bo2g164220,Delta-1-pyrroline-5-carboxylate dehydrogenase 12A1 mitochondrial (AtP5CDH) (P5C dehydrogenase) (EC 1.2.1.88) (Aldehyde dehydrogenase family 12 member A1) (L-glutamate gamma-semialdehyde dehydrogenase),ALDH12A1 P5CDH At5g62530 K19B1.14
Bo2g165620,,
Bo2g165650,L-ascorbate oxidase (ASO) (Ascorbase) (EC 1.10.3.3),AAO
Bo2g165760,,
Bo2g165770,Flavonol synthase 3 (EC 1.14.20.6),FLS3 At5g63590 MBK5.5
Bo2g165880,NAC domain-containing protein 102 (ANAC102),NAC102 At5g63790 MBK5.27
Bo2g166100,Protein LNK1 (Night light-inducible and clock-regulated 1),LNK1 At5g64170 MHJ24.1
Bo2g166130,Metacaspase-3 (AtMC3) (EC 3.4.22.-) (Metacaspase 1a) (AtMCP1a),AMC3 MCP1A At5g64240 MSJ1.8
Bo2g166160,,
Bo2g166340,Mediator-associated protein 2,At5g64680 MUB3.20
Bo2g166440,ABC transporter F family member 5 (ABC transporter ABCF.5) (AtABCF5) (GCN20-type ATP-binding cassette protein GCN5),ABCF5 GCN5 At5g64840 MXK3.6
Bo2g167640,Chaperone protein dnaJ 16 (AtDjB16) (AtJ16) (Protein ARG1-LIKE 1) (AtARL1),ATJ16 ARL1 B16 At1g24120 F3I6.4
Bo2g167930,,
Bo2g167940,Uncharacterized acetyltransferase At3g50280 (EC 2.3.1.-),At3g50280 F11C1.120
Bo2g167980,Casein kinase II subunit alpha-1 (CK II) (EC 2.7.11.1) (Casein kinase alpha 1) (AtCKA1),CKA1 At5g67380 K8K14.10
Bo2g167990,BTB/POZ domain-containing protein SR1IP1 (Protein ATSR1-INTERACTION PROTEIN 1),SR1IP1 At5g67385 K8K14
Bo2g168240,Uncharacterized protein At5g65660,At5g65660 K21L13.18
Bo30675s010,,
Bo31184s010,Signal peptidase complex catalytic subunit SEC11A (EC 3.4.21.89) (Endopeptidase SP18) (Microsomal signal peptidase 18 kDa subunit) (SPase 18 kDa subunit) (SEC11 homolog A) (SEC11-like protein 1) (SPC18),SEC11A SEC11L1 SPC18
Bo3g001060,3-ketoacyl-CoA synthase 1 (KCS-1) (EC 2.3.1.199) (Very long-chain fatty acid condensing enzyme 1) (VLCFA condensing enzyme 1),KCS1 EL1 At1g01120 T25K16.11
Bo3g001130,Cytochrome c oxidase assembly protein COX11 mitochondrial,COX11 At1g02410 T6A9.10
Bo3g001140,Putative pentatricopeptide repeat-containing protein At1g02420,At1g02420 T6A9.11
Bo3g001170,,
Bo3g001210,,
Bo3g001230,,
Bo3g001710,Uncharacterized protein At2g39795 mitochondrial,At2g39795 T5I7.20
Bo3g001840,Kinesin-like protein KIN-10B,KIN10B At5g02370 T1E22_130
Bo3g002980,Pentatricopeptide repeat-containing protein At5g04780 mitochondrial,PCMP-H16 At5g04780 MUK11.10 T1E3_140
Bo3g002990,Vacuolar protein sorting-associated protein 60.2,VPS60-2 VPS60B At5g04850 MUK11_17
Bo3g003750,Nucleolin 1 (Protein NUCLEOLIN LIKE 1) (AtNUC-L1) (Protein PARALLEL 1) (AtPARL1),NUCL1 PARL1 At1g48920 F27K7.6
Bo3g003980,Nucleolin 1 (Protein NUCLEOLIN LIKE 1) (AtNUC-L1) (Protein PARALLEL 1) (AtPARL1),NUCL1 PARL1 At1g48920 F27K7.6
Bo3g003990,Nucleolin 1 (Protein NUCLEOLIN LIKE 1) (AtNUC-L1) (Protein PARALLEL 1) (AtPARL1),NUCL1 PARL1 At1g48920 F27K7.6
Bo3g004370,Peptide methionine sulfoxide reductase A3 (AtMSRA3) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase) (Protein-methionine-S-oxide reductase),MSRA3 MSR PMSR3 At5g07470 T2I1.180
Bo3g004380,Peptide methionine sulfoxide reductase (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase) (Protein-methionine-S-oxide reductase),
Bo3g004390,Peptide methionine sulfoxide reductase (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase) (Protein-methionine-S-oxide reductase),
Bo3g004500,Transcription factor MYB29 (Myb-related protein 29) (AtMYB29) (Protein HIGH ALIPHATIC GLUCOSINOLATE 3) (Protein PRODUCTION OF METHIONINE-DERIVED GLUCOSINOLATE 2),MYB29 HAG3 PMG2 At5g07690 MBK20.15
Bo3g004610,Plant intracellular Ras-group-related LRR protein 7 (Intracellular Ras-group-related LRR protein 7) (OsIRL7),IRL7 Os03g0212200 LOC_Os03g11360 OsJ_09890
Bo3g004660,,
Bo3g004820,Thioredoxin-like protein YLS8 (Protein YELLOW-LEAF-SPECIFIC GENE 8),YLS8 At5g08290 F8L15.20
Bo3g005250,Probable pectinesterase/pectinesterase inhibitor 51 [Includes: Pectinesterase inhibitor 51 (Pectin methylesterase inhibitor 51); Pectinesterase 51 (PE 51) (EC 3.1.1.11) (Pectin methylesterase 51) (AtPME51)],PME51 ARATH51 At5g09760 F17I14.50
Bo3g005590,Protein DETOXIFICATION 28 (AtDTX28) (Multidrug and toxic compound extrusion protein 28) (MATE protein 28),DTX28 At5g44050 MRH10.16
Bo3g005600,Protein DETOXIFICATION 28 (AtDTX28) (Multidrug and toxic compound extrusion protein 28) (MATE protein 28),DTX28 At5g44050 MRH10.16
Bo3g006860,Histone H3.3 (Histone H3.2),HTR4 At4g40030 T5J17.200; HTR5 At4g40040 T5J17.210; HTR8 At5g10980 T30N20_250 T5K6.6
Bo3g006880,,
Bo3g007200,Mitochondrial import inner membrane translocase subunit TIM17-2,TIM17-2 At2g37410 F3G5.20
Bo3g007400,Conserved oligomeric Golgi complex subunit 8 (COG complex subunit 8) (Component of oligomeric Golgi complex 8),Cog8 MNCb-5704
Bo3g007520,Mechanosensitive ion channel protein 10 (Mechanosensitive channel of small conductance-like 10) (MscS-Like protein 10) (AtMSL10),MSL10 At5g12080 F14F18.230 MXC9.3
Bo3g007630,Tubulin beta-1 chain (Beta-1-tubulin) (Fragment),TUBB1 TUB1
Bo3g009360,Uncharacterized protein At5g39865,At5g39865 MYH19.5
Bo3g009750,BAG family molecular chaperone regulator 2 (Bcl-2-associated athanogene 2),BAG2 At5g62100 MTG10.13
Bo3g009980,Senescence-associated carboxylesterase 101 (EC 3.1.1.1),SAG101 At5g14930 F2G14.50
Bo3g010370,Cellulose synthase A catalytic subunit 3 [UDP-forming] (AtCesA3) (EC 2.4.1.12) (Constitutive expression of VSP1 protein 1) (Isoxaben-resistant protein 1) (Ath-B) (Protein ECTOPIC LIGNIN 1) (Protein RADIALLY SWOLLEN 5) (AtRSW5),CESA3 ATHB CEV1 ELI1 IXR1 RSW5 At5g05170 K2A11.4
Bo3g010390,Floral homeotic protein PISTILLATA (Transcription factor PI),PI At5g20240 F5O24.130
Bo3g010410,DeSI-like protein At4g17486 (EC 3.4.-.-),At4g17486 dl4780c FCAALL.234
Bo3g010440,,
Bo3g010460,,
Bo3g010580,Ethylene-responsive transcription factor ERF087,ERF087 At1g28160 F13K9.25 F3H9.18
Bo3g010690,Rhamnogalacturonan I rhamnosyltransferase 1 (EC 2.4.1.351) (O-fucosyltransferase 34) (O-FucT-34) (O-fucosyltransferase family protein),RRT1 OFUT34 At5g15740 F14F8.120
Bo3g010740,,
Bo3g010890,Glycosyltransferase BC10 (EC 2.4.-.-) (Protein BRITTLE CULM 10) (Protein FRAGILE CULM 116),BC10 FC116 Os05g0170000 LOC_Os05g07790 OsJ_17281 P0685E10.4
Bo3g010900,Probable glucomannan 4-beta-mannosyltransferase 15 (EC 2.4.1.32) (Cellulose synthase-like protein A15) (AtCslA15) (Glucomannan synthase) (Mannan synthase 15),CSLA15 At4g13410 T9E8.150
Bo3g012480,UTP--glucose-1-phosphate uridylyltransferase 1 (EC 2.7.7.9) (UDP-glucose pyrophosphorylase 1) (AtUGP1) (UDPGP 1) (UGPase 1),UGP1 At5g17310 MKP11.16
Bo3g012950,Auxin-responsive protein SAUR21 (Protein SMALL AUXIN UP RNA 21),SAUR21 At5g18030 MCM23.13
Bo3g013030,CCR4-NOT transcription complex subunit 3 (CCR4-associated factor 3) (Leukocyte receptor cluster member 2),CNOT3 KIAA0691 LENG2 NOT3
Bo3g013040,,
Bo3g013580,,
Bo3g013620,,
Bo3g013640,ARM REPEAT PROTEIN INTERACTING WITH ABF2 (ARIA),ARIA At5g19330 F7K24.80
Bo3g013700,Elongation factor 1-beta 2 (EF-1-beta 2) (Elongation factor 1-beta' 2) (EF-1-beta' 2) (Elongation factor 1B-alpha 2) (eEF-1B alpha 2),At5g19510 T20D1.30
Bo3g013750,,
Bo3g013800,Mitochondrial dicarboxylate/tricarboxylate transporter DTC (Dicarboxylate/tricarboxylate carrier),DTC At5g19760 T29J13.180
Bo3g013940,,
Bo3g014100,Floral homeotic protein PISTILLATA (Transcription factor PI),PI At5g20240 F5O24.130
Bo3g015310,,
Bo3g015630,E3 ubiquitin-protein ligase RHF2A (EC 2.3.2.27) (RING-H2 finger F2a) (RING-H2 zinc finger protein RHF2a) (RING-type E3 ubiquitin transferase RHF2A),RHF2A At5g22000 T6G21.110
Bo3g016930,Rhodanese-like domain-containing protein 4A chloroplastic (Sulfurtransferase 4A) (AtStr4a),STR4A At3g25480 MWL2.9
Bo3g017480,tRNA-splicing endonuclease subunit Sen2-2 (EC 4.6.1.16) (tRNA-intron endonuclease Sen2-2) (AtSen2),SEN2 At5g60230 F15L12.18
Bo3g017490,Probable LRR receptor-like serine/threonine-protein kinase At3g47570 (EC 2.7.11.1),At3g47570 F1P2.120
Bo3g017580,Putative general negative regulator of transcription C16C9.04c,SPAC16C9.04c
Bo3g017650,Histone H2B (CaH2B),HIS2B
Bo3g017730,Ras-related protein RABE1c (AtRABE1c) (Ras-related protein Ara-3) (Ras-related protein Rab8A) (AtRab8A),RABE1C ARA-3 RAB8A At3g46060 F12M12.30
Bo3g018030,1-aminocyclopropane-1-carboxylate oxidase homolog 12 (EC 1.14.-.-),At5g59540 F2O15.6
Bo3g018120,Probable LRR receptor-like serine/threonine-protein kinase At3g47570 (EC 2.7.11.1),At3g47570 F1P2.120
Bo3g018210,,
Bo3g018310,,
Bo3g018460,Transcription factor DIVARICATA,DIVARICATA
Bo3g018520,Peptidyl-prolyl cis-trans isomerase CYP20-1 (PPIase CYP20-1) (EC 5.2.1.8) (Cyclophilin of 20 kDa 1) (Rotamase CYP20-1) (Rotamase cyclophilin-7),CYP20-1 ROC7 At5g58710 MZN1.15
Bo3g018780,Probable serine/threonine-protein kinase WNK4 (AtWNK4) (EC 2.7.11.1) (Protein kinase with no lysine 4),WNK4 At5g58350 MCK7.22
Bo3g018870,Histone-binding protein MSI1 (CAF-1 p48 homolog) (Chromatin assembly factor 1 subunit MSI1) (CAF-1 subunit MSI1) (Protein MULTICOPY SUPPRESSOR OF IRA 1) (AtMSI1) (Protein medicis) (WD-40 repeat-containing protein MSI1),MSI1 At5g58230 MCK7.10
Bo3g018910,Phototropin-2 (EC 2.7.11.1) (Defective in chloroplast avoidance protein 1) (Non-phototropic hypocotyl 1-like protein 1) (AtKin7) (NPH1-like protein 1),PHOT2 CAV1 KIN7 NPL1 At5g58140 K21L19.6
Bo3g019100,Very-long-chain aldehyde decarbonylase CER3 (EC 4.1.99.5) (Protein ECERIFERUM 3) (Protein FACELESS POLLEN 1) (Protein WAX2) (Protein YORE-YORE),CER3 FLP1 WAX2 YRE At5g57800 MTI20.3
Bo3g019370,2-methoxy-6-polyprenyl-14-benzoquinol methylase mitochondrial (EC 2.1.1.201) (Ubiquinone biosynthesis methyltransferase COQ5),COQ5 At5g57300 MJB24.11
Bo3g019480,U-box domain-containing protein 34 (Plant U-box protein 34) [Includes: E3 ubiquitin ligase (EC 2.3.2.27) (RING-type E3 ubiquitin transferase); Serine/threonine-protein kinase (EC 2.7.11.-)],PUB34 At2g19410 F27F23.21
Bo3g019500,Lycopene epsilon cyclase chloroplastic (EC 5.5.1.18) (Protein LUTEIN DEFICIENT 2),LUT2 At5g57030 MHM17.16
Bo3g019540,,
Bo3g020990,Nitrilase 2 (EC 3.5.5.1),NIT2 At3g44300 T10D17_90
Bo3g021490,Protein SRC2 (Protein SOYBEAN GENE REGULATED BY COLD 2),SRC2 Glyma15g16360
Bo3g021690,,
Bo3g021710,Stigma-specific STIG1-like protein 2,At5g55110 MCO15.6
Bo3g021780,GDSL esterase/lipase At5g55050 (EC 3.1.1.-) (Extracellular lipase At5g55050),At5g55050 K13P22.5
Bo3g021860,Glucose-6-phosphate/phosphate translocator 1 chloroplastic,GPT1 At5g54800 MBG8.6
Bo3g022010,Ankyrin repeat-containing protein BDA1 (Protein BIAN DA 1),BAD1 At5g54610 MRB17.11
Bo3g022180,Nuclear pore complex protein NUP88 (Nucleoporin 88) (Protein EMBRYO DEFECTIVE 2789) (Protein MODIFIER OF SNC17),NUP88 EMB2789 MOS7 At5g05680 MJJ3.8
Bo3g022280,,
Bo3g022880,Bidirectional sugar transporter SWEET3 (AtSWEET3) (Protein SUGARS WILL EVENTUALLY BE EXPORTED TRANSPORTERS 3),SWEET3 At5g53190 MFH8.13
Bo3g023040,Calcium-transporting ATPase 9 plasma membrane-type (EC 7.2.2.10) (Ca(2+)-ATPase isoform 9),ACA9 At3g21180 MXL8.3
Bo3g023900,Chaperone protein ClpD chloroplastic (EC 3.6.1.3) (ATP-dependent Clp protease ATP-binding subunit ClpD homolog) (Casein lytic proteinase D) (ERD1 protein) (Protein EARLY RESPONSIVE TO DEHYDRATION 1) (Protein SENESCENCE ASSOCIATED GENE 15),CLPD ERD1 SAG15 At5g51070 K3K7.27
Bo3g024400,Malonyl CoA-acyl carrier protein transacylase (MCT) (EC 2.3.1.39),fabD ylpE BSU15900
Bo3g024590,Endochitinase At2g43590 (EC 3.2.1.14),At2g43590 F18O19.30
Bo3g024680,Protein NETWORKED 4B,NET4B At2g30500 T6B20.15
Bo3g024790,GTPase-activating protein gyp1 (GAP for ypt1),gyp1 SPBC530.01
Bo3g024850,Glutathione S-transferase F10 (AtGSTF10) (EC 2.5.1.18) (AtGSTF4) (GST class-phi member 10) (Protein EARLY RESPONSE TO DEHYDRATION 13),GSTF10 ERD13 GSTF4 At2g30870 F7F1.8
Bo3g026570,40S ribosomal protein S12-2,RPS12C At2g32060 F22D22.19
Bo3g026830,Purple acid phosphatase 13 (EC 3.1.3.2),PAP13 AT2 At2g32770 F24L7.9
Bo3g027010,Zinc finger CCCH domain-containing protein 26 (AtC3H26) (Zinc finger CCCH domain-containing protein ZFN2),ZFN2 At2g32930 T21L14.13
Bo3g027020,Protein disulfide-isomerase 2-3 (AtPDIL2-3) (EC 5.3.4.1) (Protein disulfide-isomerase 5-2) (AtPDIL5-2) (Protein disulfide-isomerase 9) (PDI9),PDIL2-3 PDI9 PDIL5-2 At2g32920 T21L14.14
Bo3g027040,Centromere/kinetochore protein zw10 homolog (AtZW10) (MAG2-interacting protein 1),ZW10 MIP1 At2g32900 T21L14.16
Bo3g028010,Dihydroceramide fatty acyl 2-hydroxylase FAH1 (EC 1.14.18.7) (Fatty acid 2-hydroxylase 1) (AtFAH1),FAH1 At2g34770 T29F13.2
Bo3g028310,Protein BASIC PENTACYSTEINE7 (AtBPC7) (GAGA-binding transcriptional activator BBR/BPC7),BPC7 BBR/BPC7 At2g35550 T32F12.7
Bo3g028490,Putative peroxisomal acyl-coenzyme A oxidase 1.2 (EC 1.3.3.6),ACX1.2 At2g35690 T20F21.12
Bo3g028510,IQ domain-containing protein IQM2 (IQ motif-containing protein 2),IQM2 At3g13600 K20M4.4
Bo3g028580,Probable sucrose-phosphatase 2 (AtSPP2) (EC 3.1.3.24),SPP2 SPP1 At2g35840 F11F19.25
Bo3g028610,Protein WVD2-like 4,WDL4 At2g35880
Bo3g029830,BEL1-like homeodomain protein 1 (BEL1-like protein 1) (Protein EMBRYO SAC DEVELOPMENT ARREST 29),BLH1 EDA29 At2g35940 F11F19.15
Bo3g029850,,
Bo3g030010,,
Bo3g030090,Growth-regulating factor 3 (AtGRF3) (Transcription activator GRF3),GRF3 At2g36400 F1O11.3
Bo3g030240,F-box protein PP2-A15 (Protein PHLOEM PROTEIN 2-LIKE A15) (AtPP2-A15),PP2A15 At3g53000 F8J2.170
Bo3g030250,60S ribosomal protein L24-2 (Protein SHORT VALVE 1),RPL24B STV1 At3g53020 F8J2_190
Bo3g031310,Aquaporin TIP1-1 (Aquaporin TIP) (Gamma-tonoplast intrinsic protein) (Gamma-TIP) (Tonoplast intrinsic protein 1-1) (AtTIP1;1) (Tonoplast intrinsic protein root-specific RB7),TIP1-1 AQP.1 At2g36830 T1J8.1
Bo3g031490,Nuclear transcription factor Y subunit B-8 (AtNF-YB-8),NFYB8 At2g37060 T2N18.18
Bo3g031500,Interactor of constitutive active ROPs 2 chloroplastic (ROP-interactive partner 2),ICR2 RIP2 At2g37080 T2N18.16
Bo3g031560,60S ribosomal protein L12-1,RPL12A At2g37190 T2N18.5
Bo3g031930,L-type lectin-domain containing receptor kinase IV.1 (Arabidopsis thaliana lectin-receptor kinase e) (AthlecRK-e) (LecRK-IV.1) (EC 2.7.11.1) (Lectin Receptor Kinase 1),LECRK41 LECRKE LRK1 At2g37710 F13M22.21
Bo3g032020,Protein RETICULATA chloroplastic (Protein LOWER CELL DENSITY 1),RE LCD1 At2g37860
Bo3g032170,,
Bo3g032440,Peroxidase 22 (Atperox P22) (EC 1.11.1.7) (ATPEa) (Basic peroxidase E),PER22 P22 PRXEA At2g38380 T19C21.13
Bo3g032830,Probable histone H2A variant 2 (H2A.F/Z 2) (HTA8),At2g38810 F13I13.4
Bo3g032900,Protease inhibitor HPI (HbPI1) (Protease inhibitor 1),PI1
Bo3g034540,Proline transporter 1 (AtPROT1),PROT1 At2g39890 T28M21.5
Bo3g034590,BAHD acyltransferase DCR (EC 2.3.1.-) (Protein DEFECTIVE IN CUTICULAR RIDGES) (Protein PERMEABLE LEAVES 3),DCR PEL3 At5g23940 MRO11.2
