Gene,Description,BLAST_hit
Bo2g095120,Thiosulfate/3-mercaptopyruvate sulfurtransferase 1 mitochondrial (EC 2.8.1.1) (EC 2.8.1.2) (AtMST1) (Rhodanese homolog protein 1) (AtRDH1) (Sulfurtransferase 1) (AtStr1),STR1 MST1 RDH1 ST1 At1g79230 YUP8H12R.17
Bo2g095180,YTH domain-containing protein ECT4 (Protein EVOLUTIONARILY CONSERVED C-TERMINAL REGION 4),ECT4 At1g55500 T5A14.10
Bo2g095460,Probable leucine-rich repeat receptor-like protein kinase At5g49770 (EC 2.7.11.1),At5g49770 K2I5.14
Bo2g095470,Probable protein phosphatase 2C 18 (AtPP2C18) (EC 3.1.3.16),At1g79630 F20B17.6
Bo2g095520,Chaperone protein dnaJ 8 chloroplastic (AtDjC8) (AtJ8),ATJ8 C8 J8 At1g80920 F23A5.28
Bo2g098750,Probable methyltransferase PMT15 (EC 2.1.1.-),At4g00750 F15P23.1
Bo2g098810,50S ribosomal protein L5 chloroplastic,RPL5 At4g01310 A_IG002N01.3 F2N1.5
Bo2g100370,Putative GTP diphosphokinase RSH1 chloroplastic (EC 2.7.6.5) (RelA/SpoT homolog 1) (AtRSH1) (ppGpp synthetase RSH1),RSH1
Bo2g100480,L-type lectin-domain containing receptor kinase IV.4 (LecRK-IV.4) (EC 2.7.11.1),LECRK44 At4g02420 T14P8.4
Bo2g100740,MLO-like protein 1 (AtMlo1) (MLO protein homolog 1) (AtMlo-H1),MLO1 MLO-H1 At4g02600 T10P11.12
Bo2g104710,Putative cysteine-rich receptor-like protein kinase 39 (Cysteine-rich RLK39) (EC 2.7.11.-),CRK39 At4g04540 F4H6.4 T26N6.15
Bo2g104960,Actin-1,ACT1 AAC1 At2g37620 F13M22.12
Bo2g107590,Dehydrodolichyl diphosphate synthase 5 (Dedol-PP synthase 5) (EC 2.5.1.-),At5g58784 MZN1.24
Bo2g108850,Probable cysteine protease RDL5 (EC 3.4.22.-) (Cysteine protease 2) (AtCP2) (Probable cysteine proteinase At4g11320) (RD21A-like protease 5),RDL5 CP2 At4g11320 F8L21.110
Bo2g109220,DUF724 domain-containing protein 10 (AtDUF10),DUF10 At5g23800 MRO11.14
Bo2g110530,RING-H2 finger protein ATL7 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL7),ATL7 At4g10150 F28M11.70 T9A4.19
Bo2g110640,Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45) (Beta-glucocerebrosidase 2) (Beta-glucosidase 2) (Bile acid beta-glucosidase GBA2) (Bile acid glucosyl transferase GBA2) (Cholesterol glucosyltransferase GBA2) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase GBA2) (EC 3.2.1.104) (Glucosylceramidase 2),Gba2
Bo2g116360,Proteasome subunit alpha type-1-B (EC 3.4.25.1) (20S proteasome alpha subunit F-2) (Proteasome component 2B) (Proteasome subunit alpha type-6),PAF2 PRC2B PRS1 At1g47250 F8G22.3
Bo2g116370,Proteasome subunit alpha type-1-A (EC 3.4.25.1) (20S proteasome alpha subunit F-1) (Proteasome 30 kDa subunit) (Proteasome component 2A) (AtPSM30) (Proteasome subunit alpha type-6) (Protein ARSENIC TOLERANCE 5),PAF1 ARS5 PRC2A PRS1 PSM30 At5g42790 MJB21.17
Bo2g119470,Putative ion channel POLLUX-like 2,At5g43745 MQD19.8
Bo2g120700,Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)],purH Moth_2044
Bo2g127580,Probable serine/threonine-protein kinase At1g54610 (EC 2.7.11.1),At1g54610 T22H22.5
Bo2g127690,Auxin-responsive protein IAA9 (Indoleacetic acid-induced protein 9),IAA9 At5g65670 F6H11.210 MPA24.1
Bo2g129970,3-oxoacyl-[acyl-carrier-protein] synthase I chloroplastic (EC 2.3.1.41) (Beta-ketoacyl-ACP synthase I) (KAS I),KAS1 At5g46290 MPL12.7
Bo2g130260,Aluminum-activated malate transporter 13 (AtALMT13),ALMT13 At5g46600 F10E10.8
Bo2g132000,Transcription factor ORG2 (Basic helix-loop-helix protein 38) (AtbHLH38) (bHLH 38) (OBP3-responsive gene 2) (Transcription factor EN 8) (bHLH transcription factor bHLH038),ORG2 BHLH38 EN8 At3g56970 F24I3.50
Bo2g134560,Two-component response regulator ARR14,ARR14 At2g01760 T8O11.7
Bo2g136200,Cinnamoyl-CoA reductase 1 (AtCCR1) (EC 1.2.1.44) (Protein IRREGULAR XYLEM 4),CCR1 IRX4 At1g15950 T24D18.5
Bo2g136470,Transcription factor ICE1 (Basic helix-loop-helix protein 116) (AtbHLH116) (bHLH 116) (Inducer of CBF expression 1) (Transcription factor EN 45) (Transcription factor SCREAM) (bHLH transcription factor bHLH116),SCRM BHLH116 EN45 ICE1 At3g26744 MDJ14.1 MLJ15.14
Bo2g137030,Erlin-2 (Endoplasmic reticulum lipid raft-associated protein 2) (Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 2) (SPFH domain-containing protein 2),ERLIN2 SPFH2
Bo2g138520,ABC transporter G family member 21 (ABC transporter ABCG.21) (AtABCG21) (White-brown complex homolog protein 21) (AtWBC21),ABCG21 WBC21 At3g25620 T5M7.6
Bo2g138630,Transcription factor AIG1 (AtAIG1) (Basic helix-loop-helix protein 32) (AtbHLH32) (bHLH 32) (Protein TARGET OF MOOPTEROS 5) (Transcription factor EN 54) (bHLH transcription factor bHLH032),BHLH32 EN54 TMO5 At3g25710 K13N2.1
Bo2g138980,Cytochrome P450 71B22 (EC 1.14.-.-),CYP71B22 At3g26200 MTC11.11
Bo2g143870,Heavy metal-associated isoprenylated plant protein 36 (AtHIP36),HIPP36 At5g27690 T1G16.20
Bo2g146350,Uncharacterized acetyltransferase At3g50280 (EC 2.3.1.-),At3g50280 F11C1.120
Bo2g146600,Protein AIG2 B (EC 2.3.2.-) (Avirulence-induced gene 2 protein B) (Putative gamma-glutamylcyclotransferase),AIG2B At3g28940 K5K13.2
Bo2g149340,BAHD acyltransferase At3g29680 (EC 2.3.1.-) (Probable anthocyanin acyltransferase),At3g29680 MOD1.4
Bo2g149970,Uncharacterized protein At5g48480,At5g48480 MJE7.12
Bo2g150230,Protein XRI1 (Protein X-RAY INDUCED 1),XRI1 At5g48720 K24G6.5
Bo2g151880,Probable WRKY transcription factor 74 (WRKY DNA-binding protein 74),WRKY74 At5g28650 F4I4.30
Bo2g155280,Pentatricopeptide repeat-containing protein At5g27460,At5g27460 F21A20.170
Bo2g155820,Myrosinase (EC 3.2.1.147) (Sinigrinase) (Thioglucosidase),
Bo2g155840,Myrosinase (EC 3.2.1.147) (Sinigrinase) (Thioglucosidase),
Bo2g155870,Myrosinase (EC 3.2.1.147) (Sinigrinase) (Thioglucosidase),
Bo2g156140,Rhodanese-like domain-containing protein 14 chloroplastic (Sulfurtransferase 14) (AtStr14),At4g27700 T29A15.190
Bo2g158560,BURP domain protein RD22 (Dehydration-responsive protein RD22),RD22 At5g25610 T14C9.150
Bo2g160600,Plasmodesmata-located protein 6 (PD-located protein 6) (Cysteine-rich repeat secretory protein 12),PDLP6 CRRSP12 At2g01660 T8O11.17
Bo2g160860,Calcium-dependent protein kinase 12 (EC 2.7.11.1) (Calcium-dependent protein kinase isoform CDPK9) (AtCDPK9),CPK12 CDPK9 At5g23580 MQM1.15
Bo2g160870,Calcium-dependent protein kinase 12 (EC 2.7.11.1) (Calcium-dependent protein kinase isoform CDPK9) (AtCDPK9),CPK12 CDPK9 At5g23580 MQM1.15
Bo2g161060,UDP-glucuronic acid decarboxylase 4 (EC 4.1.1.35) (UDP-XYL synthase 4) (UDP-glucuronate decarboxylase 4) (UGD) (UXS-4),UXS4 At2g47650 T30B22.31
Bo2g161810,Auxin response factor 2 (ARF1-binding protein) (ARF1-BP) (Protein MEGAINTEGUMENTA),ARF2 MNT At5g62000 MTG10.3
Bo2g163940,Probable carboxylesterase 120 (AtCXE20) (EC 3.1.1.1),CXE20 At5g62180 MMI9.26
Bo2g166130,Metacaspase-3 (AtMC3) (EC 3.4.22.-) (Metacaspase 1a) (AtMCP1a),AMC3 MCP1A At5g64240 MSJ1.8
Bo2g166440,ABC transporter F family member 5 (ABC transporter ABCF.5) (AtABCF5) (GCN20-type ATP-binding cassette protein GCN5),ABCF5 GCN5 At5g64840 MXK3.6
Bo2g167640,Chaperone protein dnaJ 16 (AtDjB16) (AtJ16) (Protein ARG1-LIKE 1) (AtARL1),ATJ16 ARL1 B16 At1g24120 F3I6.4
Bo2g167940,Uncharacterized acetyltransferase At3g50280 (EC 2.3.1.-),At3g50280 F11C1.120
Bo2g167990,BTB/POZ domain-containing protein SR1IP1 (Protein ATSR1-INTERACTION PROTEIN 1),SR1IP1 At5g67385 K8K14
Bo2g168240,Uncharacterized protein At5g65660,At5g65660 K21L13.18
Bo3g001120,Cathepsin B-like protease 2 (EC 3.4.22.-) (Cathepsin B2) (AtCathB2),CATHB2 At1g02305
Bo3g001140,Putative pentatricopeptide repeat-containing protein At1g02420,At1g02420 T6A9.11
Bo3g001510,RNA polymerase II C-terminal domain phosphatase-like 2 (FCP-like 2) (EC 3.1.3.16) (Carboxyl-terminal phosphatase-like 2) (AtCPL2) (CTD phosphatase-like 2),CPL2 At5g01270 F7J8.250
Bo3g001880,WD repeat-containing protein 44 (Rabphilin-11),Wdr44
Bo3g002930,Copper transport protein ATX1 (Copper chaperone ATX1),ATX1 At1g66240 T6J19.6
Bo3g003310,Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VII) (Ubiquinol-cytochrome c reductase complex 8.2 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C),
Bo3g003750,Nucleolin 1 (Protein NUCLEOLIN LIKE 1) (AtNUC-L1) (Protein PARALLEL 1) (AtPARL1),NUCL1 PARL1 At1g48920 F27K7.6
Bo3g004610,Plant intracellular Ras-group-related LRR protein 7 (Intracellular Ras-group-related LRR protein 7) (OsIRL7),IRL7 Os03g0212200 LOC_Os03g11360 OsJ_09890
Bo3g005250,Probable pectinesterase/pectinesterase inhibitor 51 [Includes: Pectinesterase inhibitor 51 (Pectin methylesterase inhibitor 51); Pectinesterase 51 (PE 51) (EC 3.1.1.11) (Pectin methylesterase 51) (AtPME51)],PME51 ARATH51 At5g09760 F17I14.50
Bo3g005600,Protein DETOXIFICATION 28 (AtDTX28) (Multidrug and toxic compound extrusion protein 28) (MATE protein 28),DTX28 At5g44050 MRH10.16
Bo3g007620,Tubulin beta-1 chain (Beta-1-tubulin),TUBB1 TUB1 At1g75780 F10A5.3 T4O12.1
Bo3g007630,Tubulin beta-1 chain (Beta-1-tubulin) (Fragment),TUBB1 TUB1
Bo3g009000,Photosynthetic NDH subunit of lumenal location 5 chloroplastic (Cyclophilin of 20 kDa 2) (Peptidyl-prolyl cis-trans isomerase CYP20-2) (PPIase CYP20-2) (EC 5.2.1.8) (Rotamase CYP20-2) (Thylakoid lumen PPIase of 20 kDa) (TLP20),PNSL5 CYP20-2 At5g13120 T19L5_80
Bo3g009590,Aspartokinase 2 chloroplastic (EC 2.7.2.4) (Aspartate kinase 2),AK2 AK-LYS2 CARAB-AK-LYS At5g14060 MUA22.6
Bo3g010580,Ethylene-responsive transcription factor ERF087,ERF087 At1g28160 F13K9.25 F3H9.18
Bo3g010690,Rhamnogalacturonan I rhamnosyltransferase 1 (EC 2.4.1.351) (O-fucosyltransferase 34) (O-FucT-34) (O-fucosyltransferase family protein),RRT1 OFUT34 At5g15740 F14F8.120
Bo3g010890,Glycosyltransferase BC10 (EC 2.4.-.-) (Protein BRITTLE CULM 10) (Protein FRAGILE CULM 116),BC10 FC116 Os05g0170000 LOC_Os05g07790 OsJ_17281 P0685E10.4
Bo3g012480,UTP--glucose-1-phosphate uridylyltransferase 1 (EC 2.7.7.9) (UDP-glucose pyrophosphorylase 1) (AtUGP1) (UDPGP 1) (UGPase 1),UGP1 At5g17310 MKP11.16
Bo3g013030,CCR4-NOT transcription complex subunit 3 (CCR4-associated factor 3) (Leukocyte receptor cluster member 2),CNOT3 KIAA0691 LENG2 NOT3
Bo3g013640,ARM REPEAT PROTEIN INTERACTING WITH ABF2 (ARIA),ARIA At5g19330 F7K24.80
Bo3g013800,Mitochondrial dicarboxylate/tricarboxylate transporter DTC (Dicarboxylate/tricarboxylate carrier),DTC At5g19760 T29J13.180
Bo3g015630,E3 ubiquitin-protein ligase RHF2A (EC 2.3.2.27) (RING-H2 finger F2a) (RING-H2 zinc finger protein RHF2a) (RING-type E3 ubiquitin transferase RHF2A),RHF2A At5g22000 T6G21.110
Bo3g016930,Rhodanese-like domain-containing protein 4A chloroplastic (Sulfurtransferase 4A) (AtStr4a),STR4A At3g25480 MWL2.9
Bo3g017580,Putative general negative regulator of transcription C16C9.04c,SPAC16C9.04c
Bo3g017730,Ras-related protein RABE1c (AtRABE1c) (Ras-related protein Ara-3) (Ras-related protein Rab8A) (AtRab8A),RABE1C ARA-3 RAB8A At3g46060 F12M12.30
Bo3g018460,Transcription factor DIVARICATA,DIVARICATA
Bo3g018520,Peptidyl-prolyl cis-trans isomerase CYP20-1 (PPIase CYP20-1) (EC 5.2.1.8) (Cyclophilin of 20 kDa 1) (Rotamase CYP20-1) (Rotamase cyclophilin-7),CYP20-1 ROC7 At5g58710 MZN1.15
Bo3g018870,Histone-binding protein MSI1 (CAF-1 p48 homolog) (Chromatin assembly factor 1 subunit MSI1) (CAF-1 subunit MSI1) (Protein MULTICOPY SUPPRESSOR OF IRA 1) (AtMSI1) (Protein medicis) (WD-40 repeat-containing protein MSI1),MSI1 At5g58230 MCK7.10
Bo3g018910,Phototropin-2 (EC 2.7.11.1) (Defective in chloroplast avoidance protein 1) (Non-phototropic hypocotyl 1-like protein 1) (AtKin7) (NPH1-like protein 1),PHOT2 CAV1 KIN7 NPL1 At5g58140 K21L19.6
Bo3g019100,Very-long-chain aldehyde decarbonylase CER3 (EC 4.1.99.5) (Protein ECERIFERUM 3) (Protein FACELESS POLLEN 1) (Protein WAX2) (Protein YORE-YORE),CER3 FLP1 WAX2 YRE At5g57800 MTI20.3
Bo3g019480,U-box domain-containing protein 34 (Plant U-box protein 34) [Includes: E3 ubiquitin ligase (EC 2.3.2.27) (RING-type E3 ubiquitin transferase); Serine/threonine-protein kinase (EC 2.7.11.-)],PUB34 At2g19410 F27F23.21
Bo3g019500,Lycopene epsilon cyclase chloroplastic (EC 5.5.1.18) (Protein LUTEIN DEFICIENT 2),LUT2 At5g57030 MHM17.16
Bo3g020990,Nitrilase 2 (EC 3.5.5.1),NIT2 At3g44300 T10D17_90
Bo3g021710,Stigma-specific STIG1-like protein 2,At5g55110 MCO15.6
Bo3g021860,Glucose-6-phosphate/phosphate translocator 1 chloroplastic,GPT1 At5g54800 MBG8.6
Bo3g022010,Ankyrin repeat-containing protein BDA1 (Protein BIAN DA 1),BAD1 At5g54610 MRB17.11
Bo3g022880,Bidirectional sugar transporter SWEET3 (AtSWEET3) (Protein SUGARS WILL EVENTUALLY BE EXPORTED TRANSPORTERS 3),SWEET3 At5g53190 MFH8.13
Bo3g023900,Chaperone protein ClpD chloroplastic (EC 3.6.1.3) (ATP-dependent Clp protease ATP-binding subunit ClpD homolog) (Casein lytic proteinase D) (ERD1 protein) (Protein EARLY RESPONSIVE TO DEHYDRATION 1) (Protein SENESCENCE ASSOCIATED GENE 15),CLPD ERD1 SAG15 At5g51070 K3K7.27
Bo3g024590,Endochitinase At2g43590 (EC 3.2.1.14),At2g43590 F18O19.30
Bo3g024680,Protein NETWORKED 4B,NET4B At2g30500 T6B20.15
Bo3g024700,Root phototropism protein 2 (BTB/POZ domain-containing protein RPT2),RPT2 At2g30520/At2g30510 T6B20.13/T6B20.14
Bo3g024790,GTPase-activating protein gyp1 (GAP for ypt1),gyp1 SPBC530.01
Bo3g024820,Indoleacetaldoxime dehydratase (EC 4.99.1.6) (Cytochrome P450 71A13),CYP71A13 At2g30770 T11J7.16
Bo3g024850,Glutathione S-transferase F10 (AtGSTF10) (EC 2.5.1.18) (AtGSTF4) (GST class-phi member 10) (Protein EARLY RESPONSE TO DEHYDRATION 13),GSTF10 ERD13 GSTF4 At2g30870 F7F1.8
Bo3g026830,Purple acid phosphatase 13 (EC 3.1.3.2),PAP13 AT2 At2g32770 F24L7.9
Bo3g027010,Zinc finger CCCH domain-containing protein 26 (AtC3H26) (Zinc finger CCCH domain-containing protein ZFN2),ZFN2 At2g32930 T21L14.13
Bo3g027040,Centromere/kinetochore protein zw10 homolog (AtZW10) (MAG2-interacting protein 1),ZW10 MIP1 At2g32900 T21L14.16
Bo3g027820,Accelerated cell death 11 (Ceramide-1-phosphate transfer protein ACD11) (Glycolipid transfer protein domain-containing protein ACD11),ACD11 At2g34690 T29F13.10
Bo3g028420,Glucomannan 4-beta-mannosyltransferase 7 (EC 2.4.1.32) (Cellulose synthase-like protein A7) (AtCslA7) (Glucomannan synthase) (Mannan synthase 7),CSLA7 At2g35650 T20F21.16
Bo3g028580,Probable sucrose-phosphatase 2 (AtSPP2) (EC 3.1.3.24),SPP2 SPP1 At2g35840 F11F19.25
Bo3g028610,Protein WVD2-like 4,WDL4 At2g35880
Bo3g029830,BEL1-like homeodomain protein 1 (BEL1-like protein 1) (Protein EMBRYO SAC DEVELOPMENT ARREST 29),BLH1 EDA29 At2g35940 F11F19.15
Bo3g030240,F-box protein PP2-A15 (Protein PHLOEM PROTEIN 2-LIKE A15) (AtPP2-A15),PP2A15 At3g53000 F8J2.170
Bo3g030250,60S ribosomal protein L24-2 (Protein SHORT VALVE 1),RPL24B STV1 At3g53020 F8J2_190
Bo3g031650,WRKY transcription factor 44 (Protein TRANSPARENT TESTA GLABRA 2) (WRKY DNA-binding protein 44),WRKY44 TTG2 At2g37260 F3G5.5
Bo3g031980,Elongation factor 1-beta 1 (EF-1-beta 1) (Elongation factor 1-beta' 1) (EF-1-beta' 1) (Elongation factor 1B-alpha 1) (eEF-1B alpha 1),At5g12110 MXC9.7
Bo3g032440,Peroxidase 22 (Atperox P22) (EC 1.11.1.7) (ATPEa) (Basic peroxidase E),PER22 P22 PRXEA At2g38380 T19C21.13
Bo3g032900,Protease inhibitor HPI (HbPI1) (Protease inhibitor 1),PI1
Bo3g034540,Proline transporter 1 (AtPROT1),PROT1 At2g39890 T28M21.5
Bo3g034590,BAHD acyltransferase DCR (EC 2.3.1.-) (Protein DEFECTIVE IN CUTICULAR RIDGES) (Protein PERMEABLE LEAVES 3),DCR PEL3 At5g23940 MRO11.2
Bo3g035430,Sigma factor binding protein 2 chloroplastic (Sigma factor binding protein II) (VQ motif-containing protein 16) (AtVQ16),SIB2 VQ16 At2g41180 T3K9.5
Bo3g036850,Mitogen-activated protein kinase 6 (AtMPK6) (MAP kinase 6) (EC 2.7.11.24),MPK6 At2g43790 F18O19.10
Bo3g037120,60S ribosomal protein L7-3,RPL7C At2g44120 F6E13.25
Bo3g039420,B3 domain-containing transcription factor NGA1 (Protein NGATHA 1),NGA1 At2g46870 F19D11.25
Bo3g039660,Probable cytochrome c oxidase subunit 5C-1 (Cytochrome c oxidase polypeptide Vc-1),At2g47380 T8I13.22
Bo3g039830,Zinc finger CCCH domain-containing protein 32 (AtC3H32) (Zinc finger CCCH domain-containing protein ZFN-like 1),At2g47850 F17A22.24
Bo3g039990,Tropinone reductase homolog At2g29300 (EC 1.1.1.-),At2g29300 F16P2.32
Bo3g040040,Putative E3 ubiquitin-protein ligase XBAT31 (EC 2.3.2.27) (Ankyrin repeat domain and RING finger-containing protein XBAT31) (Protein XB3 homolog 1) (RING-type E3 ubiquitin transferase XB31),XBAT31 At2g28840 F8N16.13
Bo3g040200,V-type proton ATPase subunit a1 (V-ATPase subunit a1) (V-type proton ATPase 95 kDa subunit a isoform 1) (V-ATPase 95 kDa isoform a1) (Vacuolar H(+)-ATPase subunit a isoform 1) (Vacuolar proton pump subunit a1) (Vacuolar proton translocating ATPase 95 kDa subunit a isoform 1),VHA-a1 At2g28520 T17D12.8
Bo3g042330,Serine carboxypeptidase-like 10 (Sinapoylglucose--anthocyanin acyltransferase) (Sinapoylglucose--anthocyanin sinapoyltransferase) (SAT) (EC 2.3.1.-),SCPL10 SAT At2g23000 F21P24.6
Bo3g042900,Protein transport protein Sec61 subunit gamma-1,SEC61G1 At4g24920 F13M23.60
Bo3g044350,GDP-mannose transporter GONST2 (Protein GOLGI NUCLEOTIDE SUGAR TRANSPORTER 2),GONST2 At1g07290 F22G5.37
Bo3g044990,Tricyclene synthase chloroplastic (EC 4.2.3.105) ((E)-beta-ocimene synthase 0e23) (EC 4.2.3.106) (Myrcene synthase 1) (EC 4.2.3.15) (Terpenoid synthase 10) (AtTPS10),TPS10 At2g24210 F27D4.12
Bo3g045640,Cytochrome P450 76C2 (EC 1.14.-.-) (Protein YELLOW-LEAF-SPECIFIC GENE 6),CYP76C2 YLS6 At2g45570 F17K2.10
Bo3g045720,Oxysterol-binding protein-related protein 2B (OSBP-related protein 2B),ORP2B At4g12460 T1P17.50
Bo3g047020,Isoamylase 3 chloroplastic (AtISA3) (EC 3.2.1.68),ISA3 At4g09020 F23J3.50
Bo3g047050,F-box/kelch-repeat protein At4g38940,At4g38940 F19H22.40
Bo3g047140,MDIS1-interacting receptor like kinase 2 (AtMIK2) (Probable LRR receptor-like serine/threonine-protein kinase At4g08850) (EC 2.7.11.1),MIK2 At4g08850 T32A17.160
Bo3g048430,Vesicle-fusing ATPase (EC 3.6.4.6) (N-ethylmaleimide-sensitive fusion protein) (Vesicular-fusion protein NSF),NSF At4g04910 T1J1.4
Bo3g048630,Protein OSCA1 (CSC1-like protein At4g04340) (Hyperosmolality-gated Ca2+ permeable channel 1.1) (AtOSCA1.1) (Protein reduced hyperosmolality-induced [Ca(2+)]i increase 1),OSCA1 OSCA1.1 At4g04340 T19B17.6
Bo3g048700,Protein WVD2-like 2,WDL2 At1g54460 F20D21.28
Bo3g052110,2-oxoglutarate-dependent dioxygenase AOP3 (EC 1.14.11.-),AOP3 At4g03050 T4I9.7
Bo3g052250,Small nuclear ribonucleoprotein SmD1b (AtSmD1-b),SMD1B At4g02840 T5J8.16
Bo3g052700,Probable galacturonosyltransferase-like 6 (EC 2.4.1.-) (Like glycosyl transferase 10),GATL6 LGT10 At4g02130 T10M13.14
Bo3g053210,WAT1-related protein At4g01450,At4g01450 F11O4.14
Bo3g053220,GDT1-like protein 3,At5g36290 T30G6.16
Bo3g054440,MYB-like transcription factor ETC3 (Protein CAPRICE-like MYB3) (Protein ENHANCER OF TRY AND CPC 3),ETC3 CPL3 At4g01060 F2N1.40
Bo3g054600,F-box protein At4g00755,At4g00755 A_TM018A10.10
Bo3g054710,Acyl-coenzyme A thioesterase 8 (Acyl-CoA thioesterase 8) (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (EC 3.1.2.27) (Peroxisomal acyl-CoA thioesterase 2) (PTE-2) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (PTE-1) (Peroxisomal long-chain acyl-CoA thioesterase 1),Acot8 Pte1
Bo3g060250,Hydrophobic protein RCI2A (Low temperature and salt-responsive protein LTI6A),RCI2A LTI6A At3g05880 F10A16.18
Bo3g060340,Sugar transport protein 6 (Hexose transporter 6),STP6 At3g05960 F2O10.8
Bo3g060370,Uncharacterized GPI-anchored protein At3g06035,At3g06035 24F17.7
Bo3g062360,Kinetochore protein SPC24 homolog (AtSPC24) (Protein MERISTEM UNSTRUCTURED),SPC24 MUN At3g08880 T16O11.19
Bo3g062440,Non-specific lipid-transfer protein 6 (LTP 6) (Xylogen-like protein 15) (AtXYP15),LTP6 XYP15 At3g08770 F17O14.24
Bo3g062480,Putative BTB/POZ domain-containing protein At3g08660,At3g08660 F17O14.13
Bo3g062760,Protein APEM9 (ABERRANT PEROXISOME MORPHOLOGY 9) (Protein DAYU),APEM9 DAU At3g10572 F18K10.16
Bo3g062820,Putative pectinesterase/pectinesterase inhibitor 24 [Includes: Pectinesterase inhibitor 24 (Pectin methylesterase inhibitor 24); Pectinesterase 24 (PE 24) (EC 3.1.1.11) (Pectin methylesterase 24) (AtPME24)],PME24 ARATH24 At3g10710 T7M13.21
Bo3g064490,2-Cys peroxiredoxin BAS1 chloroplastic (2-Cys Prx A) (2-Cys peroxiredoxin A) (EC 1.11.1.15) (Thiol-specific antioxidant protein A),BAS1 At3g11630 F24K9.28 T19F11.3
Bo3g064930,Endochitinase CH25 (EC 3.2.1.14),
Bo3g064970,Endochitinase CH25 (EC 3.2.1.14),
Bo3g064980,Protein ABIL3 (Abl interactor-like protein 3) (AtABIL3),ABIL3 At5g24310 MOP9.13
Bo3g065790,50S ribosomal protein L34,rpmH Psyc_2147
Bo3g066150,(S)-2-hydroxy-acid oxidase GLO1 (EC 1.1.3.15) (Glycolate oxidase 1) (AtGLO1) (GOX 1) (Short chain alpha-hydroxy acid oxidase GLO1),GLO1 At3g14420 MAO2.2
Bo3g066400,Probable leucine-rich repeat receptor-like serine/threonine-protein kinase At3g14840 (EC 2.7.11.1),LRR-RLK At3g14840 T21E2.2
Bo3g066700,30S ribosomal protein S20 chloroplastic,RPS20 At3g15190 F4B12.10
Bo3g066950,Cytochrome c oxidase subunit 5b-1 mitochondrial (AtCOX5b-1),COX5B-1 At3g15640 MSJ11.4
Bo3g068070,Probable lipid desaturase ADS3.2 chloroplastic (EC 1.14.19.-),ADS3.2 At3g15870 MSJ11.26
Bo3g068160,Coatomer subunit beta'-2 (Beta'-coat protein 2) (Beta'-COP 2),At1g52360 F19K6.16
Bo3g068380,GDSL esterase/lipase APG (EC 3.1.1.-) (Extracellular lipase APG),APG At3g16370 MYA6.18 T2O4.2
Bo3g070230,UV-B-induced protein At3g17800 chloroplastic,At3g17800 MEB5.2
Bo3g071570,Transcription factor TCP18 (Protein BRANCHED 1) (Protein TEOSINTE BRANCHED 1-LIKE 1),TCP18 BRC1 TBL1 At3g18550 K24M9.4
Bo3g071870,Proteasome assembly chaperone 2 (Tumor necrosis factor superfamily member 5-induced protein 1 homolog),psmg2 tnfsf5ip1 si:dkey-263o22.1 wu:fb51b11 zgc:73278
Bo3g074680,Cytochrome P450 705A22 (EC 1.14.-.-) (Protein GRAVITY PERSISTENCE SIGNAL 1),CYP705A22 GPS1 At3g20130 MAL21.16
Bo3g076330,NAD(H) kinase 1 (AtNADK-1) (EC 2.7.1.23) (EC 2.7.1.86),NADK1 At3g21070 MSA6.11
Bo3g079960,36.4 kDa proline-rich protein,TPRP-F1
Bo3g081600,Auxin-responsive protein IAA7 (Auxin resistant 2) (Indoleacetic acid-induced protein 7),IAA7 AXR2 At3g23050 MXC7.8
Bo3g091390,V-type proton ATPase subunit c1 (V-ATPase subunit c1) (V-type proton ATPase 16 kDa proteolipid subunit c1) (V-ATPase 16 kDa proteolipid subunit c1) (Vacuolar H(+)-ATPase subunit c isoform 1) (Vacuolar proton pump 16 kDa proteolipid subunit c1) (Vacuolar proton pump subunit c1),VHA-c1 AVA-P1 AVAP1 At4g34720 T4L20.300
Bo3g091820,F-box protein At1g49360,At1g49360 F13F21.21
Bo3g091870,Transportin-1 (AtTRN1) (Importin beta-2) (Karyopherin beta-2),TRN1 At2g16950 F12A24.13
Bo3g094060,Transcription factor HBI1 (Basic helix-loop-helix protein 64) (AtbHLH64) (bHLH 64) (Protein HOMOLOG OF BEE2 INTERACTING WITH IBH1) (Transcription factor EN 79) (bHLH transcription factor bHLH064),HBI1 BHLH64 EN79 At2g18300 T30D6.19
